pca0,pca1,pca2,pca3,pca4,pca5,pca6,pca7,pca8,pca9,pca10,pca11,pca12,pca13,pca14,pca15,pca16,pca17,pca18,pca19,pca20,pca21,pca22,pca23,pca24,pca25,pca26,pca27,pca28,pca29,pca30,pca31,pca32,pca33,pca34,pca35,pca36,pca37,pca38,pca39,pca40,pca41,pca42,pca43,pca44,pca45,pca46,pca47,pca48,pca49,pca50,pca51,pca52,pca53,pca54,pca55,pca56,pca57,pca58,pca59,pca60,pca61,pca62,pca63,pca64,pca65,pca66,pca67,pca68,pca69,pca70,pca71,pca72,pca73,pca74,pca75,pca76,pca77,pca78,pca79,pca80,pca81,pca82,pca83,pca84,pca85,pca86,pca87,pca88,pca89,pca90,pca91,pca92,pca93,pca94,pca95,pca96,pca97,pca98,pca99,pca100,pca101,pca102,pca103,pca104,pca105,pca106,pca107,pca108,pca109,pca110,pca111,pca112,pca113,pca114,pca115,pca116,pca117,pca118,pca119,pca120,pca121,pca122,pca123,pca124,pca125,pca126,pca127
-1.33419,-1.073249,0.38348,-0.999751,0.235855,-0.147308,-0.631223,-0.301893,-0.23472,0.177745,0.103261,0.35951,0.267573,0.348295,-0.079484,0.429309,0.162088,-0.015026,0.159216,0.033806,0.051813,0.21067,-0.055469,0.232804,0.118511,-0.025838,-0.061179,-0.187369,0.01748,0.027957,0.022298,-0.055419,-0.019112,-0.195605,-0.073399,0.034277,0.035564,-0.014134,-0.036768,-0.014875,-0.011513,-0.017104,0.010246,-0.047058,0.031289,0.005546,-0.018951,-0.051977,0.054591,-0.033776,0.010393,-0.019323,-0.008297,0.007295,-0.025089,0.000568,0.031121,-0.003865,-0.026817,-0.011374,-0.01587,-0.022465,-0.012065,-0.048433,0.027496,-0.01994,-0.044858,-0.057121,-0.01243,0.013291,0.024394,-0.01205,0.012385,0.030703,-0.008125,-0.033668,-0.025595,-0.038125,0.007516,0.002917,0.023491,-0.017582,0.016643,-0.003109,-0.03857,0.010449,0.039877,-0.000409,-0.02981,-0.009918,0.010575,-0.008656,-0.002701,-0.024075,-0.000827,0.008663,0.0035,0.005492,0.019028,0.019807,-0.004705,0.006048,-0.006463,-0.020836,-0.006421,-0.006374,0.004449,0.02032,-0.01853,-0.007607,0.007196,-0.008944,0.011371,-0.004907,0.004442,-0.004616,0.007446,-0.019679,-0.022797,-0.018725,0.001841,-0.014514,0.015968,0.004826,0.017406,-0.020213,-0.010223,0.001863
0.184582,0.102955,0.492913,0.093279,0.307652,0.627861,-0.050683,-0.257284,-0.261775,0.158449,0.203452,-0.02083,-0.27308,0.099817,-0.034342,0.258698,-0.032383,0.167142,-0.055672,-0.018761,-0.333332,0.177609,-0.065504,-0.021605,0.094393,0.011059,-0.127987,-0.023681,-0.024365,-0.084743,0.118053,-0.000239,0.009217,0.053888,0.021289,0.107928,-0.001315,-0.000662,-0.108961,-0.030136,-0.017226,0.020771,-0.026997,0.077257,0.045742,0.013529,0.075729,-0.028098,0.028723,0.047253,0.068636,0.001853,0.021385,0.008444,0.021736,-0.05903,0.010837,-0.017075,0.054306,-0.023787,0.021145,-0.004053,0.002081,0.049909,0.006348,-0.033251,0.036463,-0.006223,-0.007057,-0.029943,-0.040806,-0.000766,0.009821,-0.037363,0.002184,0.034525,-0.001011,0.033514,-0.022836,0.003171,-0.026726,-0.010851,0.004257,-0.007982,-0.00395,-0.00682,0.018374,0.007476,0.013341,0.038924,-0.004652,-0.007939,0.009281,0.020986,0.001328,0.007738,0.001828,-0.025198,-0.005444,-0.001836,-0.011849,-0.006507,0.010263,0.021583,-0.013775,0.003273,0.007698,0.004615,-0.001836,-0.006985,-0.03039,0.008028,-0.019449,0.017183,-0.018914,0.006674,-0.015827,-0.016928,-0.00027,-0.009661,-0.000287,0.015932,0.015519,-0.002398,0.011896,-0.015444,-0.002277,-0.001727
0.333797,0.144985,-0.306152,-0.13485,-0.396618,0.449914,-0.261307,-0.024049,-0.057057,0.221936,-0.09834,-0.078676,-0.150449,0.079729,0.174064,0.163182,0.12521,-0.005131,-0.111559,0.106118,-0.003678,-0.141808,0.037408,-0.099272,-0.029087,-0.052062,0.030591,-0.03784,0.028011,-0.053339,0.068639,-0.006177,0.055833,-0.060533,0.019157,0.022559,-0.010667,-0.049078,0.016904,-0.004589,-0.00808,0.034379,-0.003064,0.051431,0.062272,0.013804,-0.039689,0.041129,-0.014291,-0.028023,0.006136,-0.006784,0.002269,-0.008588,-0.024678,-0.016703,-0.00063,-0.035179,-0.008653,-0.036711,0.038758,0.043468,-0.013444,-0.009468,-0.005513,0.003685,-0.011421,0.008626,0.025264,0.013389,-0.000355,0.006469,0.021427,0.00451,0.017216,0.00288,0.004014,-0.0049,-0.012637,0.021381,0.002687,-0.008474,0.000231,-0.026576,-0.008215,-0.010714,-0.001302,0.003799,0.00693,-0.002686,-0.017611,-0.006441,-0.01535,0.007885,0.007065,-0.001297,-0.020606,0.011829,-0.000551,-0.011016,-0.013219,0.007686,-0.001988,0.004822,-0.007593,0.007206,0.002222,-0.01065,-0.004022,-0.001885,0.00438,-0.001339,-0.009389,-7.8e-05,-0.003763,0.007365,0.002618,-0.017324,-0.007111,-0.010118,0.002884,0.005454,0.00477,-0.015558,0.006932,0.002461,0.003719,-0.000594
1.124338,-0.152385,1.265215,0.376265,-0.361111,0.722196,0.182629,-0.106654,0.18545,0.593494,0.133568,0.043729,0.155158,-0.124172,-0.222973,-0.216628,0.199674,0.077627,-0.273224,-0.001497,-0.114914,-0.057033,-0.090196,-0.199114,-0.218921,-0.028507,-0.016955,-0.131818,0.05271,-0.041965,-0.114198,-0.035969,-0.057476,0.142009,0.048684,0.073036,0.011308,0.030729,0.03971,0.082633,0.013237,-0.047288,0.015901,0.10068,0.022905,0.006954,0.021329,-0.047449,0.035508,-0.014348,0.016282,-0.006753,0.041909,0.010458,-0.037688,-0.052216,0.018613,-0.047832,-0.027576,-0.001314,0.046127,0.015414,-0.033775,-0.018068,-0.022586,0.028524,0.020956,0.010979,0.011047,0.014727,0.024011,0.006864,0.024474,0.010959,0.03547,-0.016383,0.035685,-0.020303,0.029554,0.005388,0.00198,0.019451,-0.016224,-0.00709,-0.003596,-0.004776,-0.023793,0.006511,0.032154,-0.011247,-0.017812,-0.020576,-0.002051,0.018649,0.002761,-0.004473,0.013531,0.014499,-0.032598,-0.001519,0.000984,0.010611,0.01485,0.005351,0.027362,0.032303,-0.002457,-0.02385,-0.003864,0.014292,-0.006868,-0.006872,-0.014632,0.014708,-0.006278,-0.004967,0.005586,-0.012081,0.009521,0.007839,-0.006993,-0.009615,-0.001416,-0.009203,0.020013,-0.014055,-0.010659,-0.000195
-4.909991,-0.816789,-0.440035,-1.094281,-0.012493,-0.199849,1.363106,0.028503,1.606979,-0.264655,0.553844,0.094657,0.694339,-0.552012,-0.140616,-0.107175,-0.003874,0.37756,-0.499739,0.384907,0.327512,0.226083,-0.036433,0.167658,0.09966,-0.040827,0.027127,-0.116736,0.059596,-0.010789,0.132094,0.009158,-0.074596,0.008774,-0.216586,0.065328,-0.051001,0.061934,-0.142207,0.183363,-0.026722,-0.045458,-0.012193,0.114407,-0.072873,0.094851,-0.064252,-0.093636,0.093888,0.046558,0.032574,0.025838,-0.090316,0.039418,-0.075086,-0.091892,-0.149563,0.128643,0.007057,0.057614,0.013452,-0.056083,-0.061926,0.064023,0.047403,0.036903,0.007732,-0.014215,-0.077188,0.008767,0.011696,-0.007102,0.080309,0.032655,-0.067187,-0.040915,-0.031192,0.026784,0.049823,0.062164,-0.034308,0.05261,0.00859,-0.030929,0.041819,-0.039697,-0.031309,0.018111,-0.018765,-0.043663,-0.00213,-0.005144,0.044103,-0.00248,-0.02602,0.018672,-0.003332,-0.00355,-0.056184,-0.009987,0.001487,-0.006859,-0.008528,0.009608,-0.009856,-0.021573,0.011231,-0.020447,-0.005531,-0.012371,0.033957,0.02034,-0.040943,0.011148,-0.015451,-0.009024,-0.011438,0.005873,0.033359,0.00734,0.010764,0.01319,-0.004438,-0.016545,0.016061,0.00696,-0.007863,0.023601
0.114805,-0.150977,0.424432,-0.42148,0.15239,-0.54631,-0.408812,0.29131,-0.444774,0.097767,0.711124,0.233096,0.008647,-0.399756,0.238755,0.04752,0.148421,0.115426,0.140784,0.009831,0.05538,0.070104,0.199748,-0.048302,-0.080453,-0.044731,-0.125863,0.098233,-0.037337,0.004909,-0.087533,0.04567,-0.014029,-0.071684,0.029367,-0.171206,0.034513,-0.18571,-0.065608,0.144868,0.03731,0.065898,0.003452,-0.068641,0.014233,-0.086519,0.047403,0.000346,-0.026841,-0.008864,-0.00658,0.010211,0.058659,0.02922,0.008925,0.015448,0.026309,0.015257,-0.02505,-0.053471,-0.011268,0.029309,-0.003845,-0.011376,-0.018271,-0.023803,0.037925,0.047523,-0.013517,0.004975,-0.048717,-0.004551,-0.033842,0.002277,0.011696,0.002559,0.026803,-0.015005,-0.011123,-0.000256,-0.010998,-0.01981,0.013838,-0.006508,0.045051,0.017776,0.023604,-0.021281,7e-06,0.009863,0.012808,-0.009156,-0.020883,0.011001,0.01649,-0.012925,0.005812,-0.014973,-0.008683,0.000148,0.011194,0.009206,0.017249,-0.025214,0.013852,-0.004155,0.02368,0.009544,-0.001228,-0.017238,-0.011247,0.00983,-0.009165,-0.003766,0.00224,0.028963,-0.00268,0.010502,-0.026035,0.026014,-0.002587,0.012684,-0.014734,0.010924,0.006625,-0.011261,-0.004931,-0.021113
-0.115262,0.164972,0.106338,-0.282108,-0.115468,-0.129551,-0.2645,-0.117644,-0.380481,-0.012009,0.156592,0.084993,-0.037817,-0.124554,0.034722,-0.22134,0.073661,0.074116,0.055456,-0.019805,-0.117932,-0.00832,-0.014232,-0.012258,-0.041414,0.120431,-0.027073,-0.056106,-0.058513,-0.062154,0.045684,-0.055809,0.038904,-0.045005,0.091233,0.023702,0.06653,0.000592,0.040161,0.025484,0.006895,-0.084298,0.054639,-5.7e-05,-0.056809,0.004564,-0.009712,0.008386,0.019591,0.038703,0.060881,0.023256,-0.002549,-0.009138,0.022024,-0.020348,-0.029766,1.1e-05,-0.001407,-0.014238,0.02137,0.003665,-0.012459,-0.001168,0.010482,-0.031062,-0.025998,-0.02896,-0.012598,0.027346,0.014884,0.022287,0.020063,-0.025895,0.001608,0.010856,-0.000733,0.017294,0.011734,-0.009524,0.014472,0.010758,-0.016278,-0.009581,-0.012479,-0.000248,-0.003607,-0.002916,-0.00642,0.000865,-0.016765,0.019516,0.00412,0.010217,-0.009699,0.002769,-0.000256,0.004127,-0.003387,-0.000341,-0.01622,-0.003555,0.000731,0.00965,-0.025155,-0.000644,-0.007333,0.010461,0.00592,0.004146,0.011459,0.006017,0.002741,0.003129,-0.008353,0.00462,-0.001365,0.001774,-0.002692,0.004871,0.008949,-0.003629,-0.00818,-0.000352,-0.005651,0.005599,-0.000164,-0.000795
-3.789921,-1.225623,0.543657,-1.004621,0.607268,-0.463532,0.753429,0.164177,0.76371,-0.258105,-0.356048,0.172186,-0.379545,0.671652,-0.37237,-0.433663,0.065,-0.036681,0.284625,0.36125,0.48012,-0.007729,-0.169923,0.078456,0.153016,-0.075084,-0.453757,-0.218271,-0.029564,0.041979,-0.209852,-0.056267,0.173771,-0.013987,0.018824,-0.03206,0.015483,-0.104997,0.105554,0.05866,0.20253,0.061467,-0.129433,-0.103134,0.080469,0.00952,0.030424,0.146607,-0.098996,0.082951,0.066888,0.031739,-0.065275,-0.020147,0.124938,0.049612,0.002798,0.002504,-0.041471,0.082764,0.056488,-0.068047,0.09127,-0.010697,0.019901,-0.011569,-0.020513,0.054908,0.009314,-0.028213,0.009101,-0.027297,0.01646,-0.038883,0.024909,0.009148,-0.037642,0.007698,-0.017385,-0.003123,0.029212,0.052397,0.024155,0.002236,0.038036,-0.021394,0.007313,-0.002087,-0.002775,0.014531,-0.014555,0.029332,-0.045672,-0.032231,-0.001844,0.003609,-0.0055,0.003975,-0.00654,-0.005763,0.029427,-0.043913,0.021601,0.029862,-0.050665,-0.005336,0.031449,0.010936,0.031397,-0.003927,0.011223,-0.000573,0.009241,0.005076,0.007584,0.018929,0.004607,-0.03935,-0.02722,-0.013724,0.00031,0.006324,0.014557,0.006408,0.007977,-0.008399,0.003204,0.003558
0.024102,0.400058,0.514339,-0.222831,-0.049291,-0.14966,0.073797,-0.064397,-0.354917,-0.03446,0.016697,-0.293537,0.083928,-0.015758,-0.001645,-0.027162,-0.149646,0.02141,0.04896,-0.076289,0.039149,-0.02871,0.012212,0.039933,0.005679,-0.021648,0.016369,0.075788,-0.086684,0.019093,-0.045874,0.00471,-0.04933,0.068371,0.009711,0.051335,-0.010628,0.037752,0.011119,-0.004056,0.041452,-0.00872,-0.037214,-0.051935,-0.030139,-0.011864,-0.062683,0.008915,0.003292,0.041147,-0.016044,0.030278,-0.002659,-0.029341,-0.01631,-0.012366,-0.025936,0.015023,0.045583,-0.006216,-0.005199,-0.006709,-0.009528,0.013075,0.003634,-0.005726,0.00774,-0.004492,0.00506,0.036045,-0.009283,-0.008515,6.4e-05,0.024405,-0.008869,-0.007041,-0.027114,-0.030884,-0.017824,-0.005322,0.002772,-0.023309,0.002363,0.002828,-0.021298,0.014987,0.005707,0.004698,0.012662,0.01536,0.012709,-0.005999,-0.006716,-0.001542,-0.006526,-0.001229,0.009163,-0.008431,-0.010355,0.007253,0.012215,-0.018264,-0.007472,-0.017068,0.00443,0.004799,0.000427,-0.015794,0.004057,0.019062,-0.010469,0.007087,0.003546,-0.005074,0.007373,-0.006345,0.029643,-0.005934,0.005499,0.012904,-0.004633,-0.02549,-0.029698,0.013281,0.02143,-0.017566,-0.00926,-0.009469
1.00504,-0.600302,-0.204142,-0.904587,0.473342,0.852878,-0.258525,-0.013987,-0.071414,-0.453317,0.3565,-0.240224,-0.428737,0.198044,-0.101813,0.365019,0.165168,-0.360868,-0.084265,0.072318,0.131631,-0.338728,-0.044779,-0.096754,-0.080927,0.114039,0.190991,0.104802,0.046693,0.105914,-0.154146,-0.198195,-0.072935,0.01229,0.0151,0.176858,-0.01505,0.053689,0.014211,0.057833,0.006083,0.036362,0.023903,-0.064293,-0.016029,0.08076,0.054579,-0.057549,0.093024,-0.006121,0.06612,-0.000816,-0.016106,-0.050801,-0.013904,-0.124258,0.006021,-0.054823,-0.001044,0.033574,-0.005541,-0.012091,-0.010474,0.016908,-0.033266,-0.081504,0.039066,-0.065842,-0.013637,0.015052,-0.055891,0.008719,-0.011211,-0.028162,-0.005392,0.032765,0.003,0.01486,0.005742,-0.008253,0.032772,0.020891,-0.019046,0.015257,0.037226,-0.040335,-0.000662,-0.001837,0.007199,-0.004898,-0.001549,0.017113,0.017088,-0.033625,-0.031902,-0.008815,0.005966,0.005873,-0.001035,0.01929,0.012766,0.006472,0.004339,0.018263,-0.00786,0.008828,-0.026796,0.002714,-0.019483,-0.014992,0.014914,-0.015599,-0.026162,0.01537,-0.002863,0.024912,0.009585,-0.00877,0.019933,0.01184,0.005664,0.001696,0.016312,-0.021953,0.00714,0.010024,-0.008096,-0.030106
